"Overall","Variable2","Importance"
49.1319051540535,"Soil organic carbon stock",49.1319051540535
40.6329356212792,"Soil pH",40.6329356212792
39.946492176533,"NDVI",39.946492176533
38.8821666492708,"Compound topographic index",38.8821666492708
33.8542188497022,"Soil temperature",33.8542188497022
30.284628319048,"Percent tree cover",30.284628319048
30.2539202543374,"Solar radiation",30.2539202543374
27.8606473614031,"Land surface temperature (daytime)",27.8606473614031
27.1620169145884,"Permafrost probability",27.1620169145884
25.9389171618827,"Volumetric soil water",25.9389171618827
23.833577510458,"Vapor pressure deficit",23.833577510458
21.9391256511594,"Atmospheric CO2",21.9391256511594
20.233995109473,"Percent non-tree vegetation",20.233995109473
17.2965930716317,"Snow cover",17.2965930716317
