"Overall","Variable2","Importance"
36.5553718169814,"Soil organic carbon stock",36.5553718169814
32.8503927140607,"NDVI",32.8503927140607
30.7221443600054,"Soil temperature",30.7221443600054
26.3375812796545,"Land surface temperature (daytime)",26.3375812796545
24.0271783571739,"Solar radiation",24.0271783571739
23.672174052895,"Percent tree cover",23.672174052895
22.3703453292201,"Annual mean air temperature trend over 1961-1990",22.3703453292201
20.8849120673542,"Compound topographic index",20.8849120673542
19.6294787798847,"Soil pH",19.6294787798847
19.2520918585696,"Vapor pressure deficit",19.2520918585696
19.1843011181862,"Mean annual precipitation over 1961-1990",19.1843011181862
18.7564080518052,"Mean annual air temperature over 1961-1990",18.7564080518052
18.4037552539582,"Aboveground biomass",18.4037552539582
17.5888663107524,"Belowground biomass",17.5888663107524
17.5854750617365,"Rolling last 20-year air temperature trend",17.5854750617365
17.2121411922618,"Volumetric soil water",17.2121411922618
16.87729160638,"Vegetation age",16.87729160638
15.9744719160919,"Percent non-tree vegetation",15.9744719160919
15.9646007054251,"Permafrost probability",15.9646007054251
15.8199719548848,"June-August mean NDVI trend over 1982-2010",15.8199719548848
15.3819441103461,"Atmospheric CO2",15.3819441103461
14.6889273825237,"Soil bulk density",14.6889273825237
14.6422832645106,"June-August average NDWI",14.6422832645106
14.5963770184461,"Snow cover",14.5963770184461
13.7068342351824,"Topographic roughness scale",13.7068342351824
13.5345996843628,"Soil water content",13.5345996843628
12.5114268951699,"June-August average NDII",12.5114268951699
12.4124992246173,"Precipitation",12.4124992246173
10.2684063607096,"Percent non-vegetated",10.2684063607096
9.68018588612586,"PDSI",9.68018588612586
9.04526635091514,"Hillslope thermokarst",9.04526635091514
8.14710171046712,"Snow depth",8.14710171046712
7.41126658457175,"Wetland thermokarst",7.41126658457175
