"Overall","Variable2","Importance"
21.6062294834141,"Soil temperature",21.6062294834141
20.9511561038271,"Snow cover",20.9511561038271
20.4400361594896,"Solar radiation",20.4400361594896
20.4165577275374,"Land surface temperature (daytime)",20.4165577275374
19.8963276813248,"Vapor pressure deficit",19.8963276813248
19.7512795639033,"Volumetric soil water",19.7512795639033
19.6291443385264,"NDVI",19.6291443385264
18.9765469117956,"Snow depth",18.9765469117956
18.2689087072064,"Aboveground biomass",18.2689087072064
18.2592931643526,"Soil bulk density",18.2592931643526
18.2005021696135,"Precipitation",18.2005021696135
17.835468484451,"Vegetation type",17.835468484451
17.2054628323022,"Mean annual precipitation over 1961-1990",17.2054628323022
17.0130951525301,"Percent non-tree vegetation",17.0130951525301
16.8922847373405,"Annual mean air temperature trend over 1961-1990",16.8922847373405
16.2923798417688,"Percent tree cover",16.2923798417688
16.2780158807964,"Mean annual air temperature over 1961-1990",16.2780158807964
16.1500536736885,"June-August average NDWI",16.1500536736885
15.7184934886803,"Topographic roughness scale",15.7184934886803
15.0430008695604,"June-August average NDII",15.0430008695604
14.6969131427002,"Soil organic carbon stock",14.6969131427002
14.4135493500177,"Atmospheric CO2",14.4135493500177
14.2094784617373,"Permafrost probability",14.2094784617373
13.963125226335,"Belowground biomass",13.963125226335
13.9046494831095,"Soil water content",13.9046494831095
13.7081888833542,"Compound topographic index",13.7081888833542
13.4595256809407,"Percent non-vegetated",13.4595256809407
12.373457946867,"Vegetation age",12.373457946867
11.4252307149527,"Rolling last 20-year air temperature trend",11.4252307149527
10.4549606172561,"June-August mean NDVI trend over 1982-2010",10.4549606172561
10.4409443879921,"PDSI",10.4409443879921
9.31015848562692,"Hillslope thermokarst",9.31015848562692
8.79202673125613,"Wetland thermokarst",8.79202673125613
7.44081034011509,"Soil pH",7.44081034011509
