"Variable","Importance","StDev","Model","Importance_max","Variable2"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0,0,"GBM",7.50933697179115,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",7.50933697179115,0.268253876589513,"SVM",7.50933697179115,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"Barrow_CO2_conc_Barrow_CO2conc",1.96737219390949,0.107093265439841,"SVM",1.96737219390949,"Barrow_CO2_conc_Barrow_CO2conc"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0,0,"SVM",0,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"BLDFIE_M_sl1_250m_ll_SoilGrids",0.0730886522544054,0.0103205811575871,"GBM",0.0730886522544054,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"BLDFIE_M_sl1_250m_ll_SoilGrids",0,0,"SVM",0.0730886522544054,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.0936042799734619,0.0132735230510347,"GBM",5.29608275613033,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",5.29608275613033,0.184799606972707,"RF",5.29608275613033,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"SVM",5.29608275613033,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"GBM",0,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"SVM",0,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",0,0,"SVM",10.0086411829615,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
