"Overall","Variable2","Importance"
40.6245283524847,"Aboveground biomass",40.6245283524847
38.166617100347,"Monthly air temperature",38.166617100347
30.6292949974006,"Vegetation type",30.6292949974006
25.7024080273454,"Soil organic carbon stock",25.7024080273454
23.4763092933257,"Compound topographic index",23.4763092933257
23.2859395519502,"Vapor pressure deficit",23.2859395519502
22.8019200484297,"Mean annual air temperature over 1961-1990",22.8019200484297
22.5779018890641,"NDVI",22.5779018890641
22.5552351897888,"Annual mean air temperature trend over 1961-1990",22.5552351897888
22.4033740852119,"Permafrost probability",22.4033740852119
21.6685084245855,"Soil pH",21.6685084245855
21.3150442826811,"Volumetric soil water",21.3150442826811
20.2888445372771,"Soil temperature",20.2888445372771
19.5546948477386,"Belowground biomass",19.5546948477386
18.8523485551658,"Atmospheric CO2",18.8523485551658
18.1418749737244,"Mean annual precipitation over 1961-1990",18.1418749737244
17.553274397146,"June-August mean NDVI trend over 1982-2010",17.553274397146
16.6371691779806,"Soil bulk density",16.6371691779806
15.7677276014468,"Percent non-tree vegetation",15.7677276014468
15.5411615599741,"Vegetation age",15.5411615599741
15.1945692097581,"Topographic roughness scale",15.1945692097581
14.2819899379829,"Percent tree cover",14.2819899379829
13.7787812399006,"Rolling last 20-year air temperature trend",13.7787812399006
13.7138443855926,"Precipitation",13.7138443855926
11.4682372514959,"Soil water content",11.4682372514959
11.3071880146536,"Snow cover",11.3071880146536
8.88429241660852,"Wetland thermokarst",8.88429241660852
7.91647327454499,"Hillslope thermokarst",7.91647327454499
7.90595375685726,"Snow depth",7.90595375685726
7.36687496069266,"PDSI",7.36687496069266
7.28202877211233,"Percent non-vegetated",7.28202877211233
