"Variable","Importance","StDev","Model"
"tmean_terraclimate_sites",45.1032928863487,0.663848453394297,"GBM"
"ndvi3g_lower_mean_GIMMS3g_NDVI_sites_high_and_low_quality",5.80834143346346,0.210942486271763,"GBM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",5.38497108304878,0.249696473234699,"GBM"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",5.056668354009,0.263631398732346,"GBM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",2.28231375974205,0.120913824928642,"GBM"
"srad_terraclimate_sites",1.69659109188414,0.109439537211703,"GBM"
"SoilGrids_SOC_SoilGrids_SOCstock",0.510719856434223,0.0541450310258855,"GBM"
"BLDFIE_M_250m_ll_30_agg_SoilGrids",0.3540553375301,0.042993741335398,"GBM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",0.302601430258525,0.0171181632878804,"GBM"
"wtd_Water_table_depth",0.293401870538847,0.0465904512503674,"GBM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.114245058348056,0.0130916923302082,"GBM"
"Thermokarst",0.0916098608595918,0.0161659578963295,"GBM"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.0730954703799911,0.0125966387126368,"GBM"
"Snow.cover_era5_soilmoist_temp_snow",0.0655917353348461,0.00903942829771032,"GBM"
"pr_terraclimate_sites",0,0,"GBM"
"pdsi_terraclimate_sites",0,0,"GBM"
"trend_20yrprior_terra_change_id",0,0,"GBM"
"Snow.depth_era5_soilmoist_temp_snow",0,0,"GBM"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",0,0,"GBM"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"GBM"
"SMMR_SSMIS_thaw_days_NTSG_FT_SMMR_SSMIS_25km",0,0,"GBM"
"SMMR_SSMIS_transitional_days_NTSG_FT_SMMR_SSMIS_25km",0,0,"GBM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",0,0,"GBM"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",0,0,"GBM"
"Number_of_days_since_fire_classes_gfed_monthly_calc",0,0,"GBM"
"tmean_terraclimate_sites",35.3143821968985,0.566614337502177,"RF"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",16.5431058455791,0.524231333963829,"RF"
"ndvi3g_lower_mean_GIMMS3g_NDVI_sites_high_and_low_quality",15.6880539009607,0.349714358529921,"RF"
"SMMR_SSMIS_thaw_days_NTSG_FT_SMMR_SSMIS_25km",11.9417591089059,0.390721542001024,"RF"
"srad_terraclimate_sites",8.25332125367914,0.274501461130224,"RF"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",6.36042262241745,0.16152921050446,"RF"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",5.50251107057355,0.167958879726969,"RF"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",5.15353227333713,0.305076532125833,"RF"
"Snow.cover_era5_soilmoist_temp_snow",4.53713767238706,0.20090128460572,"RF"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",2.2055309445149,0.181461538844987,"RF"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",2.202557436598,0.098319286467504,"RF"
"belowground_biomass_carbon_2010_Above_belowground_biomass",2.09681391078295,0.106552417853588,"RF"
"SoilGrids_SOC_SoilGrids_SOCstock",2.08862982732691,0.0888215275362292,"RF"
"wtd_Water_table_depth",1.71863628142035,0.0906720223529251,"RF"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",1.33811334399435,0.0811901879252378,"RF"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",1.32471072971591,0.0794031805648006,"RF"
"trend_20yrprior_terra_change_id",1.27211421432822,0.11049664999962,"RF"
"Thermokarst",1.23356567607163,0.085771493773001,"RF"
"pr_terraclimate_sites",1.2205875308512,0.0925232125963611,"RF"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",1.20537342012151,0.0570313919506431,"RF"
"pdsi_terraclimate_sites",1.12734542169076,0.09339527423848,"RF"
"BLDFIE_M_250m_ll_30_agg_SoilGrids",1.06403814354897,0.0508141319932317,"RF"
"Snow.depth_era5_soilmoist_temp_snow",0.998074056309862,0.0624371505155233,"RF"
"Number_of_days_since_fire_classes_gfed_monthly_calc",0.95535497022733,0.0507232062446101,"RF"
"SMMR_SSMIS_transitional_days_NTSG_FT_SMMR_SSMIS_25km",0.841251929472504,0.0707416169550004,"RF"
"srad_terraclimate_sites",18.1740455062755,0.476496161052015,"SVM"
