"Overall","Variable2","Importance"
43.6807107085982,"Solar radiation",43.6807107085982
41.621700227486,"NDVI",41.621700227486
38.8518056147457,"Atmospheric CO2",38.8518056147457
34.6496989990905,"Soil organic carbon stock",34.6496989990905
33.2014648449715,"Aboveground biomass",33.2014648449715
31.9519809768978,"Topographic roughness scale",31.9519809768978
31.6003058452642,"June-August average NDWI",31.6003058452642
30.9887865725699,"Land surface temperature (daytime)",30.9887865725699
29.950546800442,"Mean annual air temperature over 1961-1990",29.950546800442
26.9405422292221,"Volumetric soil water",26.9405422292221
24.9613725405013,"Soil temperature",24.9613725405013
23.7217175737834,"Rolling last 20-year air temperature trend",23.7217175737834
22.9085431604866,"Belowground biomass",22.9085431604866
22.5169135176313,"Soil water content",22.5169135176313
22.3465028206647,"Percent non-tree vegetation",22.3465028206647
22.0745552564619,"Vapor pressure deficit",22.0745552564619
21.8564344006427,"Vegetation age",21.8564344006427
21.4564224771079,"Percent tree cover",21.4564224771079
21.4097376920425,"Soil pH",21.4097376920425
21.2830867420156,"Compound topographic index",21.2830867420156
20.918949504101,"Soil bulk density",20.918949504101
20.6845336898995,"June-August mean NDVI trend over 1982-2010",20.6845336898995
18.8453840436449,"Annual mean air temperature trend over 1961-1990",18.8453840436449
17.4170956975099,"Permafrost probability",17.4170956975099
17.2898337966892,"Mean annual precipitation over 1961-1990",17.2898337966892
17.2621368274256,"June-August average NDII",17.2621368274256
16.4758926183713,"Precipitation",16.4758926183713
15.8045436976537,"Wetland thermokarst",15.8045436976537
15.329684953391,"Hillslope thermokarst",15.329684953391
14.7857612034409,"Snow cover",14.7857612034409
13.8589917201542,"Percent non-vegetated",13.8589917201542
13.4738164031975,"PDSI",13.4738164031975
11.3688155500846,"Snow depth",11.3688155500846
