"Overall","Variable2","Importance"
43.9654302697738,"Solar radiation",43.9654302697738
43.8093501330112,"Vegetation type",43.8093501330112
38.8720312068394,"NDVI",38.8720312068394
35.7252483216409,"Atmospheric CO2",35.7252483216409
31.5455444021465,"Aboveground biomass",31.5455444021465
30.2746429058226,"Soil organic carbon stock",30.2746429058226
30.0711879479237,"Topographic roughness scale",30.0711879479237
29.1711011183521,"June-August average NDWI",29.1711011183521
29.1472519755404,"Land surface temperature (daytime)",29.1472519755404
27.6908665465825,"Mean annual air temperature over 1961-1990",27.6908665465825
26.3435414101308,"Soil temperature",26.3435414101308
24.6445432346634,"Snow cover",24.6445432346634
24.2795113637306,"Volumetric soil water",24.2795113637306
23.3576868495168,"Belowground biomass",23.3576868495168
22.7114761764531,"Vegetation age",22.7114761764531
22.5954574308366,"Compound topographic index",22.5954574308366
22.1378057491703,"Vapor pressure deficit",22.1378057491703
21.2453854545251,"June-August mean NDVI trend over 1982-2010",21.2453854545251
20.9247942389263,"Soil pH",20.9247942389263
20.7006973730852,"Percent tree cover",20.7006973730852
20.5759563727558,"Annual mean air temperature trend over 1961-1990",20.5759563727558
19.9342956701502,"Rolling last 20-year air temperature trend",19.9342956701502
18.8780419820276,"Percent non-tree vegetation",18.8780419820276
18.8088229273615,"Soil water content",18.8088229273615
18.3524506996265,"Soil bulk density",18.3524506996265
18.0834533757844,"Snow depth",18.0834533757844
17.5577910216422,"Mean annual precipitation over 1961-1990",17.5577910216422
17.030526861873,"Precipitation",17.030526861873
15.9323390753259,"June-August average NDII",15.9323390753259
12.9614501657819,"Percent non-vegetated",12.9614501657819
12.4509036123482,"Hillslope thermokarst",12.4509036123482
12.4481464234076,"Permafrost probability",12.4481464234076
12.3442692023866,"Wetland thermokarst",12.3442692023866
10.323603206346,"PDSI",10.323603206346
