"Overall","Variable2","Importance"
43.2297671704848,"Soil organic carbon stock",43.2297671704848
37.5481043897276,"Compound topographic index",37.5481043897276
36.359906846771,"Permafrost probability",36.359906846771
36.2907768989627,"Soil pH",36.2907768989627
36.1298480682651,"Percent tree cover",36.1298480682651
36.0771725129122,"Solar radiation",36.0771725129122
35.3522379627443,"Volumetric soil water",35.3522379627443
32.7098522445264,"Percent non-tree vegetation",32.7098522445264
31.6514428438818,"Atmospheric CO2",31.6514428438818
30.9022397265787,"Vapor pressure deficit",30.9022397265787
28.9525946796768,"NDVI",28.9525946796768
27.6354659255612,"Soil temperature",27.6354659255612
26.3616227650969,"Monthly air temperature",26.3616227650969
24.8700473944618,"Snow cover",24.8700473944618
