"Overall","Variable2","Importance"
29.2087562153803,"Vapor pressure deficit",29.2087562153803
28.9172434014118,"Atmospheric CO2",28.9172434014118
27.2107785184932,"Monthly air temperature",27.2107785184932
24.9378819512742,"NDVI",24.9378819512742
24.8777605228458,"Aboveground biomass",24.8777605228458
24.4256611708186,"Volumetric soil water",24.4256611708186
24.2716598187046,"Soil temperature",24.2716598187046
23.8690954142574,"Mean annual precipitation over 1961-1990",23.8690954142574
23.5208119302578,"Soil bulk density",23.5208119302578
22.941047875844,"Compound topographic index",22.941047875844
22.5481994224466,"Mean annual air temperature over 1961-1990",22.5481994224466
22.4635807049506,"Vegetation type",22.4635807049506
22.1202346472308,"Soil organic carbon stock",22.1202346472308
21.8564386196026,"Annual mean air temperature trend over 1961-1990",21.8564386196026
21.6416040673483,"Soil pH",21.6416040673483
21.3967765078348,"Topographic roughness scale",21.3967765078348
21.1172869137737,"Belowground biomass",21.1172869137737
19.2853772695513,"Soil water content",19.2853772695513
19.2369701076278,"Percent tree cover",19.2369701076278
18.6398775085459,"June-August mean NDVI trend over 1982-2010",18.6398775085459
18.3210943065234,"Snow cover",18.3210943065234
18.2418968377854,"Permafrost probability",18.2418968377854
17.6648813349019,"Snow depth",17.6648813349019
17.3146029910844,"PDSI",17.3146029910844
16.7929684987429,"Percent non-tree vegetation",16.7929684987429
16.6010262955927,"Precipitation",16.6010262955927
16.5847580914902,"Rolling last 20-year air temperature trend",16.5847580914902
15.5806851601573,"Percent non-vegetated",15.5806851601573
14.8954084140566,"Hillslope thermokarst",14.8954084140566
14.172337312602,"Vegetation age",14.172337312602
13.6942447655868,"Wetland thermokarst",13.6942447655868
