"Overall","Variable2","Importance"
30.7349746475904,"Solar radiation",30.7349746475904
23.2115278235906,"Atmospheric CO2",23.2115278235906
19.880455721188,"Topographic roughness scale",19.880455721188
19.1493865036582,"Vapor pressure deficit",19.1493865036582
18.9626880395801,"Compound topographic index",18.9626880395801
18.8274525712936,"Aboveground biomass",18.8274525712936
18.762078960887,"Annual mean air temperature trend over 1961-1990",18.762078960887
18.6163074336556,"Volumetric soil water",18.6163074336556
17.6350324169725,"Soil water content",17.6350324169725
17.1383251475144,"Soil organic carbon stock",17.1383251475144
17.0025106561129,"NDVI",17.0025106561129
16.5572581115991,"Soil pH",16.5572581115991
16.4503737832289,"Percent non-tree vegetation",16.4503737832289
16.0384411605692,"Belowground biomass",16.0384411605692
15.8482775438262,"Mean annual air temperature over 1961-1990",15.8482775438262
15.1671120532669,"Vegetation type",15.1671120532669
14.1243255523824,"Snow depth",14.1243255523824
13.4795976999558,"June-August mean NDVI trend over 1982-2010",13.4795976999558
13.2570859363027,"Mean annual precipitation over 1961-1990",13.2570859363027
12.9005234081239,"Rolling last 20-year air temperature trend",12.9005234081239
12.8929891414434,"Precipitation",12.8929891414434
12.5986447330284,"Soil temperature",12.5986447330284
12.58083562169,"Wetland thermokarst",12.58083562169
12.217253910946,"Percent non-vegetated",12.217253910946
11.7408829799638,"tmean_terraclimate_sites",11.7408829799638
11.5123576912095,"Soil bulk density",11.5123576912095
11.4901571333288,"Vegetation age",11.4901571333288
11.0398378560982,"Percent tree cover",11.0398378560982
10.5358243974783,"Hillslope thermokarst",10.5358243974783
10.1292204520069,"Snow cover",10.1292204520069
9.82983977076339,"PDSI",9.82983977076339
9.35493679689767,"Permafrost probability",9.35493679689767
