"Variable","Importance","StDev","Model"
"srad_terraclimate_sites",8.28392215506515,0.228930476792269,"GBM"
"ndvi3g_lower_mean_GIMMS3g_NDVI_sites_high_and_low_quality",5.15142723359644,0.162439738537977,"GBM"
"tmean_terraclimate_sites",4.05904151453126,0.164954908985278,"GBM"
"SoilGrids_SOC_SoilGrids_SOCstock",1.14829177070201,0.0649778689191311,"GBM"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.735337461729349,0.0544360127122686,"GBM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",0.625732871878792,0.0371122019822994,"GBM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",0.439043396360885,0.0447457779512528,"GBM"
"wtd_Water_table_depth",0.237853645895093,0.0305260466986726,"GBM"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.235955062070616,0.0235361172610665,"GBM"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0.221882285505337,0.0251252175305122,"GBM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.163188380466418,0.0194873690423373,"GBM"
"SMMR_SSMIS_transitional_days_NTSG_FT_SMMR_SSMIS_25km",0.159709898893185,0.0215935874791279,"GBM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",0.140325273404906,0.0144549327908777,"GBM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",0.134232019671846,0.0132971569160208,"GBM"
"SMMR_SSMIS_thaw_days_NTSG_FT_SMMR_SSMIS_25km",0.104934140390328,0.0138910997362468,"GBM"
"Snow.cover_era5_soilmoist_temp_snow",0.0947921557849045,0.0145278594507741,"GBM"
"pr_terraclimate_sites",0.0908323974632114,0.0106784297096563,"GBM"
"pdsi_terraclimate_sites",0.089155999398188,0.0190083094174178,"GBM"
"Snow.depth_era5_soilmoist_temp_snow",0.0805456747489643,0.0135401497331329,"GBM"
"BLDFIE_M_250m_ll_30_agg_SoilGrids",0.0659292961438142,0.00880610783553206,"GBM"
"Thermokarst",0.054954185701988,0.00980817755001276,"GBM"
"Number_of_days_since_fire_classes_gfed_monthly_calc",0.0390515001536978,0.0107270495458031,"GBM"
"trend_20yrprior_terra_change_id",0.0226396242111112,0.00682695061989558,"GBM"
