"Overall","Variable2","Importance"
34.4202499561515,"Soil temperature",34.4202499561515
27.3962953187944,"Soil organic carbon stock",27.3962953187944
26.7028654956618,"Percent tree cover",26.7028654956618
24.6615527370366,"NDVI",24.6615527370366
23.9446439795425,"Aboveground biomass",23.9446439795425
21.5395263513462,"Land surface temperature (daytime)",21.5395263513462
20.4201753436367,"Belowground biomass",20.4201753436367
19.8332283713383,"Compound topographic index",19.8332283713383
19.5924312377472,"Mean annual precipitation over 1961-1990",19.5924312377472
19.5266784427917,"Volumetric soil water",19.5266784427917
19.119937897461,"Percent non-tree vegetation",19.119937897461
18.866588181392,"Annual mean air temperature trend over 1961-1990",18.866588181392
18.7056840790049,"June-August mean NDVI trend over 1982-2010",18.7056840790049
17.5957312129439,"Rolling last 20-year air temperature trend",17.5957312129439
17.3131624512496,"Soil bulk density",17.3131624512496
17.1350290113107,"Snow cover",17.1350290113107
16.9925081357014,"June-August average NDWI",16.9925081357014
16.7862258215671,"Precipitation",16.7862258215671
16.344505674564,"Permafrost probability",16.344505674564
15.0141596330237,"Atmospheric CO2",15.0141596330237
14.7821270597667,"Soil water content",14.7821270597667
14.5968107762713,"Hillslope thermokarst",14.5968107762713
13.7904775165132,"Vegetation age",13.7904775165132
13.5893391057172,"Solar radiation",13.5893391057172
13.4902074214313,"Mean annual air temperature over 1961-1990",13.4902074214313
13.0121936408944,"June-August average NDII",13.0121936408944
12.5539934742069,"Topographic roughness scale",12.5539934742069
11.2557482972733,"Vapor pressure deficit",11.2557482972733
11.2336014034474,"Percent non-vegetated",11.2336014034474
10.6043894442241,"Snow depth",10.6043894442241
9.63466266684085,"PDSI",9.63466266684085
8.78560180720149,"Soil pH",8.78560180720149
8.27473770501042,"Wetland thermokarst",8.27473770501042
