"Overall","Variable2","Importance"
50.0382943935507,"Soil temperature",50.0382943935507
46.2499629052888,"Vegetation type",46.2499629052888
36.0631401006384,"NDVI",36.0631401006384
33.2721970659221,"Permafrost probability",33.2721970659221
24.3259706129158,"Soil organic carbon stock",24.3259706129158
24.0024102420917,"Aboveground biomass",24.0024102420917
21.9549072505327,"Annual mean air temperature trend over 1961-1990",21.9549072505327
21.5075045233027,"Belowground biomass",21.5075045233027
20.2588757566242,"Percent tree cover",20.2588757566242
19.3030533682138,"Mean annual precipitation over 1961-1990",19.3030533682138
18.3694443182536,"Land surface temperature (daytime)",18.3694443182536
17.1543644563973,"Atmospheric CO2",17.1543644563973
16.6262894242877,"Volumetric soil water",16.6262894242877
16.624639792672,"Compound topographic index",16.624639792672
16.2119665726684,"June-August average NDWI",16.2119665726684
15.6724296140208,"Rolling last 20-year air temperature trend",15.6724296140208
14.7763500536541,"June-August average NDII",14.7763500536541
14.5727621603321,"Hillslope thermokarst",14.5727621603321
14.2765438395494,"Percent non-tree vegetation",14.2765438395494
14.2700169488161,"Snow cover",14.2700169488161
14.0729584745231,"Solar radiation",14.0729584745231
14.0717265302268,"Topographic roughness scale",14.0717265302268
13.7443691034049,"Soil bulk density",13.7443691034049
13.3004932541861,"June-August mean NDVI trend over 1982-2010",13.3004932541861
12.8630260068641,"Snow depth",12.8630260068641
12.620677544529,"Soil pH",12.620677544529
12.5361213596405,"Vapor pressure deficit",12.5361213596405
12.2497762218132,"Vegetation age",12.2497762218132
10.5890659238865,"Precipitation",10.5890659238865
10.4333197017559,"PDSI",10.4333197017559
10.2563529924147,"Percent non-vegetated",10.2563529924147
9.21697380296529,"Mean annual air temperature over 1961-1990",9.21697380296529
7.35942609363578,"Soil water content",7.35942609363578
6.80133289976377,"Wetland thermokarst",6.80133289976377
