"Overall","Variable2","Importance"
55.046917126135,"Soil temperature",55.046917126135
44.5553860984208,"Vegetation type",44.5553860984208
35.2179288304079,"NDVI",35.2179288304079
34.271844196535,"Permafrost probability",34.271844196535
30.1797858748684,"Aboveground biomass",30.1797858748684
23.7087974050779,"Soil organic carbon stock",23.7087974050779
23.4058965776525,"Annual mean air temperature trend over 1961-1990",23.4058965776525
20.9324523618984,"Percent tree cover",20.9324523618984
19.2635121600358,"Compound topographic index",19.2635121600358
18.7079558282187,"Land surface temperature (daytime)",18.7079558282187
18.3016431118533,"Atmospheric CO2",18.3016431118533
17.6957451086674,"Mean annual precipitation over 1961-1990",17.6957451086674
17.3222814596413,"Belowground biomass",17.3222814596413
15.8788736675288,"June-August average NDWI",15.8788736675288
15.1156916219729,"Solar radiation",15.1156916219729
15.108034361706,"Soil bulk density",15.108034361706
14.8446146875881,"Rolling last 20-year air temperature trend",14.8446146875881
14.7651761414777,"Volumetric soil water",14.7651761414777
14.4384251741008,"June-August average NDII",14.4384251741008
13.2668376708755,"Snow cover",13.2668376708755
13.1710453703842,"Soil pH",13.1710453703842
12.4974583912477,"Topographic roughness scale",12.4974583912477
12.4288195593015,"June-August mean NDVI trend over 1982-2010",12.4288195593015
12.0930773551697,"Snow depth",12.0930773551697
11.682430090802,"Vapor pressure deficit",11.682430090802
11.6049550790288,"Percent non-tree vegetation",11.6049550790288
10.8471850428763,"Hillslope thermokarst",10.8471850428763
10.1863361644335,"Mean annual air temperature over 1961-1990",10.1863361644335
9.76006303347899,"Precipitation",9.76006303347899
9.49553413273121,"Percent non-vegetated",9.49553413273121
9.49279428447048,"PDSI",9.49279428447048
8.24200196945761,"Vegetation age",8.24200196945761
6.41136887398043,"Soil water content",6.41136887398043
5.59457897141072,"Wetland thermokarst",5.59457897141072
