"Overall","Variable2","Importance"
47.8818174171864,"Vegetation type",47.8818174171864
35.1308273716467,"Aboveground biomass",35.1308273716467
30.1249811919718,"Soil temperature",30.1249811919718
25.6476516651184,"Permafrost probability",25.6476516651184
24.1904280813054,"Compound topographic index",24.1904280813054
23.79827468673,"Monthly air temperature",23.79827468673
21.2976706380714,"Soil organic carbon stock",21.2976706380714
19.8152609756583,"Rolling last 20-year air temperature trend",19.8152609756583
19.6206861649663,"Volumetric soil water",19.6206861649663
18.0678598106132,"Percent non-tree vegetation",18.0678598106132
17.5894647224217,"NDVI",17.5894647224217
17.0908733808071,"Annual mean air temperature trend over 1961-1990",17.0908733808071
16.6476535982074,"Belowground biomass",16.6476535982074
16.236139769853,"Soil bulk density",16.236139769853
16.121342347788,"Percent tree cover",16.121342347788
16.0107091626895,"Soil pH",16.0107091626895
15.8526796488033,"Atmospheric CO2",15.8526796488033
15.7016371396215,"Topographic roughness scale",15.7016371396215
15.2467615752557,"Mean annual precipitation over 1961-1990",15.2467615752557
14.1505639779616,"Vegetation age",14.1505639779616
13.9998501614378,"Precipitation",13.9998501614378
13.6559294981486,"Mean annual air temperature over 1961-1990",13.6559294981486
12.5030135078455,"Snow cover",12.5030135078455
11.9764515924293,"Vapor pressure deficit",11.9764515924293
10.9673606293752,"June-August mean NDVI trend over 1982-2010",10.9673606293752
9.21088080555464,"Hillslope thermokarst",9.21088080555464
8.42241833701209,"Snow depth",8.42241833701209
7.9114035689396,"Soil water content",7.9114035689396
7.85445892783091,"Percent non-vegetated",7.85445892783091
7.57147483414354,"Wetland thermokarst",7.57147483414354
7.39236516299535,"PDSI",7.39236516299535
