"Variable","Importance","StDev","Model","Importance_max","Variable2"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",7.34267961517785,0.494248314795941,"GBM",14.5733939092238,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",14.5733939092238,0.334557552876288,"SVM",14.5733939092238,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",11.8408069189207,0.379625408058113,"RF",14.5733939092238,"aboveground_biomass_carbon_2010_Above_belowground_biomass"
"Barrow_CO2_conc_Barrow_CO2conc",2.32623289522823,0.205902180083845,"SVM",2.32623289522823,"Barrow_CO2_conc_Barrow_CO2conc"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.083358676735213,0.0179355838940932,"GBM",2.8973974406506,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0,0,"SVM",2.8973974406506,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"belowground_biomass_carbon_2010_Above_belowground_biomass",2.8973974406506,0.10412972427793,"RF",2.8973974406506,"belowground_biomass_carbon_2010_Above_belowground_biomass"
"BLDFIE_M_sl1_250m_ll_SoilGrids",2.11827151706837,0.113380728014379,"RF",2.11827151706837,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"BLDFIE_M_sl1_250m_ll_SoilGrids",0,0,"SVM",2.11827151706837,"BLDFIE_M_sl1_250m_ll_SoilGrids"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",1.13711073946135,0.034076196775433,"RF",1.13711073946135,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"SVM",1.13711073946135,"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.965706148016195,0.0652644730736957,"RF",0.965706148016195,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"SVM",0.965706148016195,"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",9.83461784306303,0.470276539115413,"GBM",11.9936324933338,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",0,0,"SVM",11.9936324933338,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",11.9936324933338,0.428394128835926,"RF",11.9936324933338,"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged"
"forest_age_class_forest_age_sites",0,0,"SVM",0,"forest_age_class_forest_age_sites"
"ndvi_trend_19812010",0,0,"SVM",0.904919028952473,"ndvi_trend_19812010"
"ndvi_trend_19812010",0.904919028952473,0.0403148099861714,"RF",0.904919028952473,"ndvi_trend_19812010"
"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled",12.5130749136426,0.241221191305868,"SVM",12.5130749136426,"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled"
"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled",0.138898991404306,0.0172620009653263,"GBM",12.5130749136426,"ndvi3g_lowest_gapfilled_mean_GIMMS3g_NDVI_sites_low_quality_gapfilled"
