"Variable","Importance","StDev","Model"
"NDVI_whittaker_constant_monthly_mean",25.0197834176296,0.466155889728888,"GBM"
"tmean_terraclimate_sites",15.8573438031724,0.329039435342,"GBM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",3.82586342016889,0.151955399501196,"GBM"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",3.20285431151473,0.131088848782558,"GBM"
"srad_terraclimate_sites",1.07638830607888,0.0649162705864756,"GBM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",0.527253217168472,0.033869056376615,"GBM"
"Snow.cover_era5_soilmoist_temp_snow",0.242136533426006,0.0270566180907865,"GBM"
"pr_terraclimate_sites",0,0,"GBM"
"pdsi_terraclimate_sites",0,0,"GBM"
"trend_20yrprior_terra_change_id",0,0,"GBM"
"Snow.depth_era5_soilmoist_temp_snow",0,0,"GBM"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0,0,"GBM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0,0,"GBM"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"GBM"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0,0,"GBM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",0,0,"GBM"
"SoilGrids_SOC_SoilGrids_SOCstock",0,0,"GBM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",0,0,"GBM"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",0,0,"GBM"
"Number_of_days_since_fire_classes_MCD64A1_sites_cleaned",0,0,"GBM"
"Thermokarst",0,0,"GBM"
"NDVI_whittaker_constant_monthly_mean",29.8718035784744,0.480792203018383,"RF"
"tmean_terraclimate_sites",28.0325957980997,0.446632517912198,"RF"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",10.0236401105288,0.334501291142428,"RF"
"Snow.cover_era5_soilmoist_temp_snow",9.61500656703441,0.50016519847191,"RF"
"srad_terraclimate_sites",6.86656119423426,0.264918245807071,"RF"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",6.34833238420573,0.233551750291573,"RF"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",5.32721702162092,0.161531008287981,"RF"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",5.27551011507527,0.198453731753564,"RF"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",4.19362617671198,0.245259012592644,"RF"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",3.20567425564321,0.146862521066599,"RF"
"pdsi_terraclimate_sites",2.3474713546753,0.154496024795236,"RF"
"pr_terraclimate_sites",1.94275459733791,0.0843384932549968,"RF"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",1.8781114475504,0.116979767823161,"RF"
"trend_20yrprior_terra_change_id",1.85430957241317,0.123457766282258,"RF"
