"Variable","Importance","StDev","Model"
"NDVI_whittaker_constant_monthly_mean",8.5680850981572,0.226011862403056,"GBM"
"srad_terraclimate_sites",7.74024950983719,0.191360981221254,"GBM"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",6.38332858508663,0.196442125072404,"GBM"
"tmean_terraclimate_sites",2.46124272265423,0.103294117549589,"GBM"
"ESACCI_cavm_general_ESAwaterfix_broadevfix_mixfix_cropfix_nowaterglacier_ESACCI_CAVM_merged",0.963094241328361,0.0502477496783748,"GBM"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.729113401727596,0.0669638162070217,"GBM"
"sol_watercontent.1500kPa_usda.3c2a1a_m_250m_b0..0cm_1950..2017_v0.1_SoilGrids_watercontent_30_agg",0.644992195494437,0.0540322515202223,"GBM"
"trend_20yrprior_terra_change_id",0.576984720453168,0.0333853338780813,"GBM"
"aboveground_biomass_carbon_2010_Above_belowground_biomass",0.538627463102151,0.0675852389350021,"GBM"
"Soil.temperature.level.1_era5_soilmoist_temp_snow",0.417746544360139,0.0274026355288102,"GBM"
"pdsi_terraclimate_sites",0.276753526029288,0.0298023424129728,"GBM"
"SoilGrids_SOC_SoilGrids_SOCstock",0.230720106690615,0.0207070310268456,"GBM"
"PHIHOX_M_250m_ll_30_agg_SoilGrids",0.117596270402844,0.00879462223288273,"GBM"
"Snow.cover_era5_soilmoist_temp_snow",0.104972411112947,0.0202126773897655,"GBM"
"pr_terraclimate_sites",0.093773300768876,0.0107611352487468,"GBM"
"Snow.depth_era5_soilmoist_temp_snow",0.0709968778225863,0.00733312336920166,"GBM"
"UiO_PEX_PERPROB_5.0_20181128_2000_2016_NH_UiO_PEX_20181128_2000_2016_NH",0.0571587723149133,0.0129419203609832,"GBM"
"dtm_cti_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",0.0538029793411889,0.00855520046504415,"GBM"
"Thermokarst",0.0511479797446754,0.0183213243721618,"GBM"
"belowground_biomass_carbon_2010_Above_belowground_biomass",0.0315180022230878,0.00698560522466642,"GBM"
"Number_of_days_since_fire_classes_MCD64A1_sites_cleaned",0,0,"GBM"
"srad_terraclimate_sites",17.8693480795092,0.355589156340364,"RF"
"NDVI_whittaker_constant_monthly_mean",11.7874507510726,0.270773958990071,"RF"
"tmean_terraclimate_sites",6.7410872274143,0.143543717234343,"RF"
"Volumetric.soil.water.layer.1_era5_soilmoist_temp_snow",6.3960767986783,0.176837013132106,"RF"
"dtm_rough.scale_merit.dem_m_250m_s0..0cm_2018_v1.0_MERIT_topo_indices_250m",5.98456933018117,0.230765394852177,"RF"
